stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,603676,-8.522,11.361,1.165
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000518,68.918,65.825,1.242
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000712,42.919,51.282,1.146
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,603828,0.588,6.605,1.294
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,600097,8.952,36.944,1.181
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,603123,6.672,10.861,1.27
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000785,92.091,58.515,1.136
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002625,52.117,39.148,1.113
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,603636,0.698,10.592,1.2
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,601222,91.199,75.558,1.193
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002425,0.257,17.283,1.243
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,601619,89.752,73.956,1.253
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002167,91.577,64.705,1.128
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,601016,98.978,90.99,1.383
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000798,86.994,70.772,1.819
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000637,36.312,36.215,1.12
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000828,17.283,32.551,1.12
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,600165,91.239,54.411,1.251
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002103,27.132,26.291,1.366
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,002386,72.145,46.094,1.167
stock_date,stock_index,kdjj,rsi_6,boll_ratio
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000591,113.056,92.938,1.722
stock_date,stock_index,kdjj,rsi_6,boll_ratio
2020-12-28,000908,28.707,35.02,1.261
