stock_index,stock_name,current_zhuli_ratio,avg_ratio_7_days
600048,保利地产,0.365,0.427
600585,海螺水泥,0.365,0.394
977,浪潮信息,0.365,0.359
2256,*ST兆新,0.364,0.393
600600,青岛啤酒,0.364,0.315
2146,荣盛发展,0.364,0.322
2092,中泰化学,0.364,0.371
601005,重庆钢铁,0.364,0.396
300748,金力永磁,0.363,0.36
600151,航天机电,0.363,0.323
600547,山东黄金,0.363,0.323
2821,凯莱英,0.363,0.4
2738,中矿资源,0.362,0.345
2331,皖通科技,0.362,0.347
601258,ST庞大,0.362,0.365
300323,华灿光电,0.362,0.358
688298,东方生物,0.361,0.322
600259,广晟有色,0.361,0.39
600549,厦门钨业,0.361,0.348
600011,华能国际,0.36,0.326
2240,盛新锂能,0.36,0.378
300999,金龙鱼,0.36,0.386
2805,丰元股份,0.36,0.335
300132,青松股份,0.36,0.277
300621,维业股份,0.359,0.136
717,韶钢松山,0.359,0.375
600745,闻泰科技,0.359,0.366
300418,昆仑万维,0.359,0.379
300296,利亚德,0.359,0.387
600027,华电国际,0.359,0.346
601916,浙商银行,0.359,0.333
2049,紫光国微,0.359,0.374
2936,郑州银行,0.359,0.341
2812,恩捷股份,0.358,0.367
2966,苏州银行,0.358,0.31
300439,美康生物,0.358,0.221
729,燕京啤酒,0.358,0.302
600169,太原重工,0.358,0.315
876,新 希 望,0.357,0.377
2408,齐翔腾达,0.357,0.37
2916,深南电路,0.356,0.327
768,中航西飞,0.356,0.371
2958,青农商行,0.356,0.33
591,太阳能,0.356,0.357
601989,中国重工,0.356,0.352
601678,滨化股份,0.356,0.28
2585,双星新材,0.356,0.316
959,首钢股份,0.356,0.325
601088,中国神华,0.356,0.385
928,中钢国际,0.355,0.408
2008,大族激光,0.355,0.369
300144,宋城演艺,0.355,0.38
656,金科股份,0.354,0.371
300757,罗博特科,0.354,0.241
2648,卫星石化,0.353,0.297
300725,药石科技,0.352,0.309
750,国海证券,0.352,0.331
2859,洁美科技,0.352,0.29
600297,广汇汽车,0.352,0.297
2247,*ST聚力,0.352,0.252
2207,准油股份,0.351,0.301
629,攀钢钒钛,0.351,0.371
