stock_index,stock_name,yeji_predict,_c3,stock_date
2258,利尔化学,业绩预盈,净利润5000万元至7300万元_增长幅度为-30.79%至1.04%,2020-03-12
2272,川润股份,业绩大幅上升,净利润6000.00万元至8000.00万元_增长幅度为33.37%至77.83%,2020-01-18
2299,圣农发展,业绩大幅上升,净利润408000.00万元至420000.00万元_增长幅度为171.01%至178.98%,2020-01-04
2300,太阳电缆,业绩大幅上升,净利润17491.01万元至20876.36万元_增长幅度为55%至85%,2020-01-14
2302,西部建设,业绩大幅上升,净利润55520万元至70690万元_增长幅度为83%至133%,2020-01-08
2324,普利特,业绩大幅上升,净利润16633.47万元至20249.44万元_增长幅度为130%至180%,2020-01-08
2324,普利特,业绩大幅上升,净利润4199.71万元至5434.92万元_增长幅度为70%至120%,2020-03-21
2331,皖通科技,业绩大幅上升,净利润14814.91万元至19047.74万元_增长幅度为40%至80%,2020-01-21
2335,科华恒盛,业绩大幅上升,净利润17569.40万元至21307.57万元_增长幅度为135%至185%,2020-01-31
2353,杰瑞股份,业绩大幅上升,净利润131046万元至143351万元_增长幅度为113%至133%,2020-02-03
2357,富临运业,业绩大幅上升,净利润6769.39万元至8649.77万元_增长幅度为80%至130%,2020-01-23
2381,双箭股份,业绩大幅上升,净利润23455.59万元至26583万元_增长幅度为50%至70%,2020-01-21
2387,维信诺,业绩大幅上升,净利润5500万元至8200万元_增长幅度为58.78%至136.72%,2020-01-21
2388,新亚制程,业绩大幅上升,净利润4500万元至5500万元_增长幅度为39.91%至71.00%,2020-01-10
2401,中远海科,业绩大幅上升,净利润7753.18万元至9045.38万元_增长幅度为200%至250%,2020-03-28
2409,雅克科技,业绩大幅上升,净利润10200万元至12000万元_增长幅度为146.97%至190.55%,2020-03-12
2409,雅克科技,业绩大幅上升,净利润7000万元至8500万元_增长幅度为69.49%至105.81%,2020-02-28
2429,兆驰股份,业绩大幅上升,净利润97984.65万元至124707.74万元_增长幅度为120%至180%,2020-02-03
2432,九安医疗,业绩大幅上升,净利润6000万元至8000万元_增长幅度为372.93%至530.58%,2020-01-14
2438,江苏神通,业绩大幅上升,净利润16535.07万元至19635.40万元_增长幅度为60%至90%,2020-01-16
2457,青龙管业,业绩大幅上升,净利润14600万元至19800万元_增长幅度为97.83%至168.29%,2020-01-20
2467,二六三,业绩大幅上升,净利润16348.02万元至18068.86万元_增长幅度为90%至110%,2020-01-21
2469,三维工程,业绩大幅上升,净利润7198.35万元至8398.08万元_增长幅度为80%至110%,2020-01-21
2474,榕基软件,业绩大幅上升,净利润4706万元至6101万元_增长幅度为35%至75%,2020-02-03
2483,润邦股份,业绩大幅上升,净利润12440.69万元至15714.55万元_增长幅度为90%至140%,2020-01-17
2515,金字火腿,业绩大幅上升,净利润4500万元至5500万元_增长幅度为41.16%至72.53%,2020-03-05
2521,齐峰新材,业绩大幅上升,净利润11670.70万元至14588.38万元_增长幅度为100%至150%,2020-01-14
2522,浙江众成,业绩大幅上升,净利润6105.72万元至7901.52万元_增长幅度为70%至120%,2020-01-16
2531,天顺风能,业绩大幅上升,净利润70445.72万元至79838.48万元_增长幅度为50%至70%,2020-01-17
2533,金杯电工,业绩大幅上升,净利润16572.79万元至20550.25万元_增长幅度为25%至55%,2020-01-18
2534,杭锅股份,业绩大幅上升,净利润32000万元至42000万元_增长幅度为31%至72%,2020-01-16
2585,双星新材,业绩大幅上升,净利润8000万元至9200万元_增长幅度为80%至110%,2020-03-17
2603,以岭药业,业绩大幅上升,净利润43255.16万元至46138.84万元_增长幅度为50%至60%,2020-03-31
2605,姚记科技,业绩大幅上升,净利润13161.75万元至17373.51万元_增长幅度为150%至230%,2020-02-29
2605,姚记科技,业绩大幅上升,净利润33724.89万元至40210.44万元_增长幅度为160%至210%,2020-02-03
