stock_name,stock_index,gainian,gainian_list
江苏银行,600919,1,京东金融
永辉超市,601933,1,新零售
江苏神通,2438,1,核能核电
江苏北人,688218,1,工业互联
江山股份,600389,1,化工原料
江化微,603078,1,光刻胶
江丰电子,300666,1,苹果概念
江中药业,600750,1,中药
汉宇集团,300403,1,垃圾分类
汉商集团,600774,1,新零售
汇通能源,600605,1,风能
江苏有线,600959,1,广电
柯力传感,603662,1,传感器
柘中股份,2346,1,充电桩
林洋能源,601222,1,转债标的
星网宇达,2829,1,北斗导航
星湖科技,600866,1,IPO受益
星光农机,603789,1,乡村振兴
易尚展示,2751,1,3D打印
易世达,300125,1,高送转
明阳电路,300739,1,PCB
昊海生科,688366,1,医疗美容
昊志机电,300503,1,富士康
春兰股份,600854,1,壳资源
昆仑万维,300418,1,网红直播
旗滨集团,601636,1,医疗器械
方盛制药,603998,1,工业大麻
方正电机,2196,1,预亏预减
新金路,510,1,石墨烯
新赛股份,600540,1,风能
新莱应材,300260,1,食品安全
新经典,603096,1,送转预期
新疆火炬,603080,1,天然气
日上集团,2593,1,胎压监测
春秋电子,603890,1,富士康
晋亿实业,601002,1,铁路基建
晨光文具,603899,1,基金重仓
松芝股份,2454,1,社保重仓
松发股份,603268,1,贬值受益
杭钢股份,600126,1,预盈预增
杭萧钢构,600477,1,一带一路
杭电股份,603618,1,石墨烯
杭州解百,600814,1,新零售
朗进科技,300594,1,铁路基建
朗科科技,300042,1,知识产权
朗科智能,300543,1,预亏预减
有方科技,688159,1,工业互联
智莱科技,300771,1,快递概念
智慧松德,300173,1,工业4.0
晶瑞股份,300655,1,光刻胶
晶澳科技,2459,1,铁路基建
景旺电子,603228,1,PCB
普邦股份,2663,1,区块链
普路通,2769,1,小米概念
普利制药,300630,1,免疫治疗
晨光生物,300138,1,工业大麻
帝欧家居,2798,1,高送转
泰嘉股份,2843,1,纾困概念
希努尔,2485,1,贬值受益
左江科技,300799,1,网络安全
哈投股份,600864,1,券商概念
哈尔斯,2615,1,迪士尼
哈三联,2900,1,医疗美容
和远气体,2971,1,化工原料
和科达,2816,1,OLED
周大生,2867,1,黄金概念
吴通控股,300292,1,5G概念
启迪设计,300500,1,送转预期
哈高科,600095,1,人造肉
君正集团,601216,1,互联金融
同达创业,600647,1,债转股
同有科技,300302,1,国家安防
同为股份,2835,1,国家安防
吉药控股,300108,1,医疗器械
吉林化纤,420,1,东北振兴
吉宏股份,2803,1,高送转
吉华集团,603980,1,化工原料
合肥城建,2208,1,皖江区域
向日葵,300111,1,充电桩
司尔特,2538,1,生态农业
商赢环球,600146,1,互联金融
嘉应制药,2198,1,工业大麻
国海证券,750,1,券商概念
国机通用,600444,1,皖江区域
国新能源,600617,1,天然气
国投资本,600061,1,券商概念
国投中鲁,600962,1,国企改革
国发股份,600538,1,医疗器械
国创高新,2377,1,租售同权
国光股份,2749,1,高送转
嘉事堂,2462,1,医疗器械
国信证券,2736,1,券商概念
四方达,300179,1,创业板综
四方精创,300468,1,纾困概念
四方科技,603339,1,冷链物流
四川金顶,600678,1,新能源车
四川美丰,731,1,化工原料
嘉麟杰,2486,1,手游概念
嘉欣丝绸,2404,1,贬值受益
嘉必优,688089,1,二胎概念
因赛集团,300781,1,知识产权
国电电力,600795,1,东北振兴
双箭股份,2381,1,养老概念
双成药业,2693,1,阿兹海默
华西能源,2630,1,石墨烯
华菱星马,600375,1,皖江区域
华致酒行,300755,1,新零售
华特气体,688268,1,化工原料
