id,stock_index,stock_name,jijin_num,stock_date,day,jijin_date
1,600729,重庆百货,15,2020_02_20,2020_02_20,2019-12-31
1,600563,法拉电子,15,2020_02_20,2020_02_20,2019-12-31
1,600298,安琪酵母,15,2020_02_20,2020_02_20,2019-12-31
1,600153,建发股份,15,2020_02_20,2020_02_20,2019-12-31
1,600483,福能股份,15,2020_02_20,2020_02_20,2019-12-31
2,002511,中顺洁柔,15,2020_02_20,2020_02_20,2019-12-31
1,601808,中海油服,15,2020_02_20,2020_02_20,2019-12-31
2,002405,四维图新,15,2020_02_20,2020_02_20,2019-12-31
1,601231,环旭电子,15,2020_02_20,2020_02_20,2019-12-31
2,002223,鱼跃医疗,15,2020_02_20,2020_02_20,2019-12-31
2,000429,粤高速A,15,2020_02_20,2020_02_20,2019-12-31
2,300226,上海钢联,15,2020_02_20,2020_02_20,2019-12-31
2,300559,佳发教育,15,2020_02_20,2020_02_20,2019-12-31
2,300395,菲利华,15,2020_02_20,2020_02_20,2019-12-31
1,603218,日月股份,15,2020_02_20,2020_02_20,2019-12-31
2,002867,周大生,15,2020_02_20,2020_02_20,2019-12-31
1,603129,春风动力,15,2020_02_20,2020_02_20,2019-12-31
1,688029,南微医学,15,2020_02_20,2020_02_20,2019-12-31
1,600161,天坛生物,14,2020_02_20,2020_02_20,2019-12-31
1,600373,中文传媒,14,2020_02_20,2020_02_20,2019-12-31
1,600273,嘉化能源,14,2020_02_20,2020_02_20,2019-12-31
2,002036,联创电子,14,2020_02_20,2020_02_20,2019-12-31
1,600060,海信视像,14,2020_02_20,2020_02_20,2019-12-31
2,000877,天山股份,14,2020_02_20,2020_02_20,2019-12-31
2,002025,航天电器,14,2020_02_20,2020_02_20,2019-12-31
2,000157,中联重科,14,2020_02_20,2020_02_20,2019-12-31
1,601098,中南传媒,14,2020_02_20,2020_02_20,2019-12-31
1,601238,广汽集团,14,2020_02_20,2020_02_20,2019-12-31
2,300284,苏交科,14,2020_02_20,2020_02_20,2019-9-30
2,002419,天虹股份,14,2020_02_20,2020_02_20,2019-12-31
2,300036,超图软件,14,2020_02_20,2020_02_20,2019-12-31
2,002268,卫士通,14,2020_02_20,2020_02_20,2019-12-31
2,300001,特锐德,14,2020_02_20,2020_02_20,2019-12-31
1,600567,山鹰纸业,14,2020_02_20,2020_02_20,2019-12-31
2,300118,东方日升,14,2020_02_20,2020_02_20,2019-12-31
1,603308,应流股份,14,2020_02_20,2020_02_20,2019-12-31
1,603568,伟明环保,14,2020_02_20,2020_02_20,2019-12-31
2,300567,精测电子,14,2020_02_20,2020_02_20,2019-12-31
1,603596,伯特利,14,2020_02_20,2020_02_20,2019-12-31
1,600612,老凤祥,13,2020_02_20,2020_02_20,2019-12-31
1,600376,首开股份,13,2020_02_20,2020_02_20,2019-12-31
1,600285,羚锐制药,13,2020_02_20,2020_02_20,2019-12-31
2,000739,普洛药业,13,2020_02_20,2020_02_20,2019-12-31
1,600325,华发股份,13,2020_02_20,2020_02_20,2019-12-31
