stock_date,stock_index,kdjj
2020-08-03,603863,62.234
2020-08-03,600348,62.31
2020-08-03,600684,62.37
2020-08-03,601106,62.427
2020-08-03,601958,62.579
2020-08-03,603016,62.637
2020-08-03,600770,62.734
2020-08-03,600284,62.964
2020-08-03,600133,63.166
2020-08-03,600318,63.185
2020-08-03,601718,63.216
2020-08-03,601229,63.437
2020-08-03,600191,63.468
2020-08-03,603727,63.508
2020-08-03,603656,63.53
2020-08-03,600742,63.583
2020-08-03,603488,63.71
2020-08-03,603922,63.967
2020-08-03,601598,64.007
2020-08-03,603721,64.031
2020-08-03,600634,64.04
2020-08-03,600226,64.07
2020-08-03,600958,64.088
2020-08-03,600751,64.119
2020-08-03,600298,64.12
2020-08-03,603877,64.149
2020-08-03,600390,64.312
2020-08-03,600692,64.393
2020-08-03,601019,64.465
2020-08-03,600976,64.496
2020-08-03,603657,64.617
2020-08-03,600382,64.68
2020-08-03,603999,64.701
2020-08-03,600159,64.705
2020-08-03,603685,64.851
2020-08-03,601878,64.898
2020-08-03,601377,64.968
2020-08-03,603848,65.002
2020-08-03,601929,65.071
2020-08-03,600767,65.452
2020-08-03,600598,65.724
2020-08-03,603056,65.761
2020-08-03,603958,65.783
2020-08-03,603817,65.798
2020-08-03,600188,65.937
2020-08-03,601298,66.0
2020-08-03,600310,66.077
2020-08-03,603726,66.116
2020-08-03,603328,66.136
2020-08-03,603839,66.208
2020-08-03,600396,66.209
2020-08-03,601127,66.289
2020-08-03,600306,66.441
2020-08-03,601069,66.633
2020-08-03,603660,66.692
2020-08-03,603633,66.694
2020-08-03,603259,66.743
2020-08-03,603369,66.747
2020-08-03,600794,66.751
2020-08-03,600462,66.769
2020-08-03,600979,66.853
2020-08-03,601333,66.901
2020-08-03,601368,66.928
2020-08-03,603083,66.988
2020-08-03,603233,67.085
2020-08-03,600109,67.164
2020-08-03,603800,67.258
2020-08-03,600667,67.28
2020-08-03,600890,67.362
2020-08-03,600640,67.424
