id,stock_index,stock_name,jzcsyl,stock_date
2,300413,芒果超媒,0.1369,2020_02_22
1,603579,荣泰健康,0.1369,2020_02_22
2,300820,英杰电气,0.1369,2020_02_22
2,002821,凯莱英,0.1366,2020_02_22
1,600600,青岛啤酒,0.1365,2020_02_22
2,300778,新城市,0.1364,2020_02_22
1,603109,神驰机电,0.1361,2020_02_22
1,603368,柳药股份,0.136,2020_02_22
1,600036,招商银行,0.1359,2020_02_22
1,603317,天味食品,0.1358,2020_02_22
1,603960,克来机电,0.1354,2020_02_22
1,603228,景旺电子,0.1351,2020_02_22
1,603613,国联股份,0.1351,2020_02_22
1,603583,捷昌驱动,0.1351,2020_02_22
2,300016,北陆药业,0.1349,2020_02_22
1,603605,珀莱雅,0.1349,2020_02_22
2,002911,佛燃股份,0.1347,2020_02_22
2,000876,新希望,0.1346,2020_02_22
1,600846,同济科技,0.1346,2020_02_22
1,600593,大连圣亚,0.1345,2020_02_22
2,300685,艾德生物,0.1345,2020_02_22
2,300205,天喻信息,0.1343,2020_02_22
2,000877,天山股份,0.1343,2020_02_22
2,002020,京新药业,0.1343,2020_02_22
2,000966,长源电力,0.1343,2020_02_22
2,300624,万兴科技,0.1342,2020_02_22
2,000906,浙商中拓,0.134,2020_02_22
2,300130,新国都,0.1338,2020_02_22
2,002801,微光股份,0.1338,2020_02_22
1,603136,天目湖,0.1338,2020_02_22
2,300640,德艺文创,0.1338,2020_02_22
2,002882,金龙羽,0.1337,2020_02_22
1,600173,卧龙地产,0.1335,2020_02_22
2,002950,奥美医疗,0.1335,2020_02_22
2,002956,西麦食品,0.1334,2020_02_22
2,002947,恒铭达,0.1334,2020_02_22
1,600389,江山股份,0.1334,2020_02_22
1,601138,工业富联,0.1332,2020_02_22
1,603639,海利尔,0.1331,2020_02_22
1,603585,苏利股份,0.133,2020_02_22
2,300033,同花顺,0.133,2020_02_22
1,600782,新钢股份,0.1325,2020_02_22
1,603617,君禾股份,0.1324,2020_02_22
1,603848,好太太,0.1324,2020_02_22
1,600326,西藏天路,0.1324,2020_02_22
2,300396,迪瑞医疗,0.1324,2020_02_22
1,600377,宁沪高速,0.1323,2020_02_22
1,603515,欧普照明,0.1323,2020_02_22
2,002543,万和电气,0.1318,2020_02_22
2,002287,奇正藏药,0.1317,2020_02_22
2,300470,中密控股,0.1316,2020_02_22
1,603187,海容冷链,0.1315,2020_02_22
2,002180,纳思达,0.1315,2020_02_22
1,603313,梦百合,0.1314,2020_02_22
1,600675,中华企业,0.1313,2020_02_22
1,600395,盘江股份,0.1312,2020_02_22
1,603986,兆易创新,0.1312,2020_02_22
1,601975,招商南油,0.1311,2020_02_22
2,002440,闰土股份,0.131,2020_02_22
2,002912,中新赛克,0.1308,2020_02_22
2,300747,锐科激光,0.1307,2020_02_22
1,603355,莱克电气,0.1304,2020_02_22
2,300506,名家汇,0.1304,2020_02_22
1,688001,华兴源创,0.1304,2020_02_22
1,603180,金牌厨柜,0.1303,2020_02_22
2,002955,鸿合科技,0.1303,2020_02_22
1,600161,天坛生物,0.1303,2020_02_22
2,002878,元隆雅图,0.1303,2020_02_22
2,300586,美联新材,0.1302,2020_02_22
1,603506,南都物业,0.1299,2020_02_22
1,603757,大元泵业,0.1298,2020_02_22
2,002960,青鸟消防,0.1296,2020_02_22
2,000951,中国重汽,0.1296,2020_02_22
2,002818,富森美,0.1296,2020_02_22
2,002773,康弘药业,0.1293,2020_02_22
2,002705,新宝股份,0.1292,2020_02_22
1,600455,博通股份,0.1292,2020_02_22
1,601512,中新集团,0.1291,2020_02_22
1,601319,中国人保,0.1288,2020_02_22
1,600533,栖霞建设,0.1288,2020_02_22
1,603679,华体科技,0.1287,2020_02_22
2,002117,东港股份,0.1285,2020_02_22
1,601577,长沙银行,0.1283,2020_02_22
1,601231,环旭电子,0.1282,2020_02_22
2,300690,双一科技,0.1278,2020_02_22
