stk1,stk2,corr,slope,stock_index
603811,600895,0.97,-0.083984375,600895
603811,002513,1.0,0.0,002513
603811,002767,0.99,-0.283935546875,002767
603811,000513,0.96,0.208984375,000513
603811,600810,1.0,-0.0419921875,600810
603811,603828,0.98,0.0149993896484375,603828
603811,600135,0.99,-0.0770263671875,600135
603811,000788,0.99,-0.06597900390625,000788
603811,000963,0.99,0.447998046875,000963
603811,000790,0.97,-0.0260009765625,000790
603811,603665,1.0,4.69140625,603665
603811,601188,0.96,0.08697509765625,601188
603811,002615,0.98,0.1629638671875,002615
603811,600896,1.0,-0.0980224609375,600896
603811,600425,0.96,0.053009033203125,600425
603811,002191,0.96,-0.05999755859375,002191
603811,000652,0.96,-0.040985107421875,000652
603811,600526,0.97,-0.0880126953125,600526
603811,600596,0.98,0.006999969482421875,600596
603811,600880,0.96,-0.0570068359375,600880
603811,600338,1.0,0.2509765625,600338
603811,000759,0.97,-0.08099365234375,000759
603811,000881,1.0,-0.298095703125,000881
603811,002274,0.98,-0.053009033203125,002274
603811,600639,0.98,-0.114013671875,600639
603811,600386,0.98,0.072021484375,600386
603811,002469,0.98,-0.10302734375,002469
603811,600581,1.0,0.09600830078125,600581
603811,002080,0.97,0.08599853515625,002080
603811,600960,0.98,-0.0010004043579101562,600960
603811,002319,0.98,-0.073974609375,002319
603811,600833,0.98,-0.08502197265625,600833
603811,002103,0.99,-0.1619873046875,002103
603811,002109,0.99,-0.040008544921875,002109
603811,600456,1.0,0.04998779296875,600456
603811,600712,0.97,-0.006000518798828125,600712
603811,600378,0.96,-0.0889892578125,600378
603811,000656,0.96,-0.0369873046875,000656
603811,603601,0.98,-0.032989501953125,603601
603811,002532,0.97,0.0010004043579101562,002532
603811,002298,0.96,-0.016998291015625,002298
603811,600783,0.96,-0.1669921875,600783
603811,600784,0.97,-0.12298583984375,600784
603811,600990,1.0,-0.403076171875,600990
603811,002270,0.99,-0.0260009765625,002270
603811,603628,0.99,0.64892578125,603628
603811,002292,0.99,-0.03399658203125,002292
603811,600892,0.96,-0.3798828125,600892
603811,000672,0.98,-0.040008544921875,000672
603811,000062,0.96,-0.11199951171875,000062
603811,002459,0.96,-0.029998779296875,002459
603811,603588,0.97,0.125,603588
603811,600816,0.98,-0.0999755859375,600816
603811,002850,1.0,-0.037994384765625,002850
603811,603518,1.0,-0.423095703125,603518
603811,000422,0.96,-0.0229949951171875,000422
603811,002771,0.97,-0.093994140625,002771
603811,601226,0.99,-0.00800323486328125,601226
603811,600800,1.0,-0.06298828125,600800
603811,000338,0.99,0.0200042724609375,000338
603811,600539,0.99,-0.10198974609375,600539
603811,600332,0.96,0.412109375,600332
603811,000878,0.97,-0.258056640625,000878
603811,000421,0.97,-0.0469970703125,000421
603811,002555,0.98,-0.11297607421875,002555
603811,002524,0.97,0.093994140625,002524
603811,600719,0.96,-0.04901123046875,600719
603811,600802,0.97,-0.0360107421875,600802
603811,000612,0.99,0.02099609375,000612
603811,603738,0.96,0.198974609375,603738
603811,000639,0.99,0.0229949951171875,000639
603811,002057,0.99,0.04400634765625,002057
603811,600362,0.96,-0.31103515625,600362
