DATE,MARKET,SCODE,SECNAME,RZYE,RQYL,RZRQYE,RQYE,RQMCL,RZRQYECZ,RZMRE,SZ,RZYEZB,RZMRE3D,RZMRE5D,RZMRE10D,RZCHE,RZCHE3D,RZCHE5D,RZCHE10D,RZJME,RZJME3D,RZJME5D,RZJME10D,RQMCL3D,RQMCL5D,RQMCL10D,RQCHL,RQCHL3D,RQCHL5D,RQCHL10D,RQJMG,RQJMG3D,RQJMG5D,RQJMG10D,SPJ,ZDF,RCHANGE3DCP,RCHANGE5DCP,RCHANGE10DCP,KCB,TRADE_MARKET_CODE,TRADE_MARKET
2020-12-09 00,融资融券_沪证,601886.0,江河集团,396398842.0,0.0,396398842.0,0.0,0.0,396398842.0,8739254.0,6808895000.0,5.82177933,23206473.0,55087366.0,96843413.0,24011389.0,33507841.0,54577724.0,119056610.0,-15272135.0,-10301368.0,509642.0,-22213197.0,0.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,5.9,-4.9919,-4.8387,-5.7508,-4.9919,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,300058.0,蓝色光标,1310644175.0,2067844.0,1323237345.0,12593170.0,35600.0,1298051005.0,21383641.0,14011622620.59,9.35397855,102384988.0,143261489.0,284765181.0,36697443.0,122562777.0,170836621.0,334845997.0,-15313802.0,-20177789.0,-27575132.0,-50080816.0,380900.0,444400.0,736600.0,77600.0,725810.0,2233687.0,3731451.0,-42000.0,-344910.0,-1789287.0,-2994851.0,6.09,-2.09,-7.3059,-8.2831,-7.0229,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,2662.0,京威股份,225601118.0,54900.0,225821816.0,220698.0,0.0,225380420.0,9071851.0,6029924022.0,3.74135921,27037130.0,55853089.0,182226752.0,24524824.0,47979582.0,78937862.0,264029001.0,-15452973.0,-20942452.0,-23084773.0,-81802249.0,0.0,0.0,0.0,0.0,0.0,0.0,44900.0,0.0,0.0,0.0,-44900.0,4.02,-4.0573,-4.2857,-6.0748,-14.8305,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_深证,2223.0,鱼跃医疗,1241061853.0,414384.0,1252515427.0,11453574.0,44900.0,1229608279.0,24268346.0,23959890055.44,5.1797477,53220239.0,109023456.0,239313841.0,39828553.0,104570959.0,164789543.0,328401383.0,-15560207.0,-51350720.0,-55766087.0,-89087542.0,134000.0,206410.0,338110.0,43715.0,244965.0,708130.0,1193848.0,1185.0,-110965.0,-501720.0,-855738.0,27.64,-1.8117,-3.3228,-2.6075,-1.1798,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_深证,2714.0,牧原股份,16574739830.0,2435071.0,16761217568.0,186477738.0,252998.0,16388262092.0,265387662.0,191064450178.84,8.67494702,697635061.0,1017092814.0,2375886250.0,280963060.0,726945341.0,1036442333.0,2308554091.0,-15575398.0,-29310280.0,-19349519.0,67332159.0,475143.0,1017939.0,1687797.0,69600.0,247816.0,415224.0,849280.0,183398.0,227327.0,602715.0,838517.0,76.58,-2.0967,-1.9964,-3.3325,5.5112,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_沪证,600206.0,有研新材,899293035.0,205400.0,902176851.0,2883816.0,0.0,896409219.0,32075596.0,11814347357.28,7.61187231,113701039.0,224033165.0,663053149.0,47818854.0,144141364.0,250548145.0,667748165.0,-15743258.0,-30440325.0,-26514980.0,-4695016.0,0.0,21700.0,281000.0,0.0,68700.0,93900.0,378200.0,0.0,-68700.0,-72200.0,-97200.0,14.04,-3.7697,-4.2945,-6.8966,-5.7718,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,2185.0,华天科技,2122144234.0,5637184.0,2206420134.0,84275900.0,267000.0,2037868334.0,87559439.0,40950875071.6,5.18217066,347278254.0,799754142.0,1697812279.0,103357280.0,346086559.0,832882026.0,1681043077.0,-15797841.0,1191695.0,-33127884.0,16769202.0,1010400.0,3787800.0,8698975.0,787000.0,3044218.0,7877750.0,13589225.0,-520000.0,-2033818.0,-4089950.0,-4890250.0,14.95,-3.8585,-6.4456,-8.1695,-5.8564,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_深证,2415.0,海康威视,1486372908.0,33204120.0,2937724995.0,1451352087.0,525385.0,35020821.0,47963629.0,353849581260.3,0.42005784,189340259.0,295832502.0,793467855.0,63838377.0,222527587.0,353094628.0,741913988.0,-15874748.0,-33187328.0,-57262126.0,51553867.0,882285.0,1170134.0,2326243.0,193700.0,2687353.0,3793024.0,5135635.0,331685.0,-1805068.0,-2622890.0,-2809392.0,43.71,-1.2873,-4.709,-2.4983,-4.1658,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_深证,2285.0,世联行,490997240.0,399712.0,493071745.0,2074505.0,14100.0,488922735.0,9737933.0,10454486947.47,4.69652162,48265400.0,57985801.0,122833879.0,25664890.0,43251213.0,63619470.0,135751958.0,-15926957.0,5014187.0,-5633669.0,-12918079.0,171000.0,171000.0,555900.0,0.0,254403.0,703306.0,1811074.0,14100.0,-83403.0,-532306.0,-1255174.0,5.19,-0.3839,1.3672,-0.3839,-8.3039,0.0,69001002003.0,深交所中小板
2020-12-09 00,融资融券_沪证,603019.0,中科曙光,2681499181.0,1857565.0,2743634730.25,62135549.25,53000.0,2619363631.75,100493607.0,43553602705.35,6.15677927,301173471.0,523645955.0,787703317.0,116452016.0,271089628.0,466711742.0,731637657.0,-15958409.0,30083843.0,56934213.0,56065660.0,119600.0,153198.0,216158.0,279988.0,532442.0,936416.0,1058576.0,-226988.0,-412842.0,-783218.0,-842418.0,33.45,-2.8746,-7.2379,-5.1602,-4.6465,0.0,69001001001.0,上交所主板
