dt,stock_index,rzmre,rzye,rqye,rzrqye,close
2019-05-27 00,601398,107860919,2828341457,18551210,2846892667,5.14
2019-05-28 00,601398,44615348,2809823815,12354363,2822178178,5.16
2019-05-29 00,601398,33683231,2805945051,12095520,2818040571,5.14
2019-05-30 00,601398,30210508,2799914513,15069159,2814983672,5.16
2019-05-31 00,601398,122240793,2857241459,16347540,2873588999,5.1
2019-06-03 00,601398,25223585,2745101525,16494090,2761595615,5.19
2019-06-04 00,601398,24405563,2682744696,18655734,2701400430,5.22
2019-06-05 00,601398,43476208,2658743356,20154591.36,2678897947.36,5.25
2019-06-06 00,601398,19859741,2636562738,10742953.53,2647305691.53,5.22
2019-06-10 00,601398,47631535,2629198111,14923382,2644121493,5.27
2019-06-11 00,601398,179184972,2771998544,16202736,2788201280,5.28
2019-06-12 00,601398,62665994,2749791355,10373184,2760164539,5.25
2019-06-13 00,601398,83106726,2770490344,6056037,2776546381,5.22
2019-06-14 00,601398,26480225,2717002619,7031500,2724034119,5.23
2019-06-17 00,601398,38093711,2732364877,14614040,2746978917,5.23
2019-06-18 00,601398,101889372,2778522043,12284656.16,2790806699.16,5.23
2019-06-19 00,601398,137188332,2762477475,12850702.9,2775328177.9,5.27
2019-06-20 00,601398,305042587,2911513795,21889785.84,2933403580.84,5.33
2019-06-21 00,601398,105454594,2841398989,9973080,2851372069,5.34
2019-06-24 00,601398,66461204,2837271546,7290612,2844562158,5.37
2019-06-25 00,601398,143063145,2879736971,12938944.59,2892675915.59,5.32
2019-06-26 00,601398,46256222,2849403000,15536430,2864939430,5.34
2019-06-27 00,601398,103156236,2862751834,18580449,2881332283,5.4
2019-06-28 00,601398,61006793,2853349335,19396948,2872746283,5.38
2019-07-01 00,601398,246962999,2999588481,13454976,3013043457,5.41
2019-07-02 00,601398,83130195,2910688648,15039067.07,2925727715.07,5.42
2019-07-03 00,601398,120397287,2870881619,11431854,2882313473,5.41
2019-07-04 00,601398,104419272,2903034209,11630936,2914665145,5.42
2019-07-05 00,601398,66756763,2877206678,5933088,2883139766,5.41
2019-07-08 00,601398,84810320,2878899899,9935666,2888835565,5.33
2019-07-09 00,601398,74343620,2848165333,5396418,2853561751,5.32
2019-07-10 00,601398,43614540,2816974593,5451765,2822426358,5.29
2019-07-11 00,601398,59073361,2793511291,5505388,2799016679,5.31
2019-07-12 00,601398,86459127,2798686345,5690250,2804376595,5.36
2019-07-15 00,601398,49189739,2777275879,9346960,2786622839,5.34
2019-07-16 00,601398,28807125,2757594903,6611385,2764206288,5.35
2019-07-17 00,601398,142753429,2834933128,14845756,2849778884,5.3
2019-07-18 00,601398,47828331,2806790970,11375054,2818166024,5.31
2019-07-19 00,601398,42404844,2776436986,8522080,2784959066,5.34
2019-07-22 00,601398,64408368,2736273534,7681680,2743955214,5.38
2019-07-23 00,601398,100560677,2728154637,7609870,2735764507,5.4
2019-07-24 00,601398,104683015,2724065221,10108285,2734173506,5.43
2019-07-25 00,601398,96626510,2723721303,7305391,2731026694,5.43
2019-07-26 00,601398,79842128,2711157915,12083853,2723241768,5.43
2019-07-29 00,601398,82812774,2759052285,14514595.75,2773566880.75,5.39
2019-07-30 00,601398,106459176,2769297748,10677024,2779974772,5.4
2019-07-31 00,601398,85326778,2770184007,5523252,2775707259,5.38
2019-08-01 00,601398,93982806,2844266857,6403815,2850670672,5.35
2019-08-02 00,601398,75423487,2862119770,5885816,2868005586,5.3
2019-08-05 00,601398,70759899,2834505179,5843872,2840349051,5.22
2019-08-06 00,601398,84037482,2857278699,6922095,2864200794,5.15
2019-08-07 00,601398,61958153,2831275567,13000680,2844276247,5.13
2019-08-08 00,601398,123829413,2851961349,10928961,2862890310,5.17
2019-08-09 00,601398,80640519,2822292374,5696964,2827989338,5.2
2019-08-12 00,601398,56787161,2788175619,4872493,2793048112,5.25
2019-08-13 00,601398,43093585,2758054798,6835155,2764889953,5.25
2019-08-14 00,601398,41045392,2723783787,9994922,2733778709,5.27
2019-08-15 00,601398,60735651,2700157019,11190056,2711347075,5.3
2019-08-16 00,601398,67067958,2708994203,4808650,2713802853,5.24
2019-08-19 00,601398,269283728,2832157833,12288902,2844446735,5.21
2019-08-20 00,601398,189583018,2924362558,4596702,2928959260,5.16
2019-08-21 00,601398,77917348,2893128737,6387309,2899516046,5.17
2019-08-22 00,601398,99377317,2930367610,6708394,2937076004,5.13
2019-08-23 00,601398,79171450,2901780132,6702914,2908483046,5.16
2019-08-26 00,601398,70641731,2899533822,9615674,2909149496,5.12
2019-08-27 00,601398,60499785,2820539207,4820548,2825359755,5.16
2019-08-28 00,601398,80186555,2802986923,3724920,2806711843,5.14
2019-08-29 00,601398,203508459,2918842369,5056318,2923898687,5.16
2019-08-30 00,601398,189804182,3031683889,7664041,3039347930,5.13
2019-09-02 00,601398,91746151,2796498497,3030258,2799528755,5.13
2019-09-03 00,601398,75816754,2797369521,2962980,2800332501,5.14
2019-09-04 00,601398,138705174,2807003080,3205967,2810209047,5.21
2019-09-05 00,601398,194838577,2823312751,13287450,2836600201,5.24
2019-09-06 00,601398,22124054,2724883865,4328232,2729212097,5.26
2019-09-09 00,601398,173668574,2765182556,3694151.95,2768876707.95,5.25
2019-09-10 00,601398,158922242,2828588187,3986647.5,2832574834.5,5.24
2019-09-11 00,601398,113249717,2810536389,6383693.25,2816920082.25,5.29
2019-09-12 00,601398,34271040,2710853674,4170843.85,2715024517.85,5.31
2019-09-16 00,601398,111487399,2699362572,4154133.85,2703516705.85,5.31
2019-09-17 00,601398,170795318,2788399418,3166624.55,2791566042.55,5.25
2019-09-18 00,601398,34020382,2752297191,5416427.5,2757713618.5,5.24
2019-09-19 00,601398,46674558,2705230611,5146927.5,2710377538.5,5.24
2019-09-20 00,601398,34677792,2639776487,2906595.65,2642683082.65,5.27
2019-09-23 00,601398,134961106,2703616582,2816199.4,2706432781.4,5.22
2019-09-24 00,601398,76123301,2654749952,3424327.5,2658174279.5,5.24
2019-09-25 00,601398,58702596,2643708497,3941847.45,2647650344.45,5.23
2019-09-26 00,601398,93148466,2645965724,4413942.75,2650379666.75,5.29
2019-09-27 00,601398,93235354,2608641667,5265797.7,2613907464.7,5.28
2019-09-30 00,601398,24064402,2590914200,3010227.85,2593924427.85,5.27
2019-10-08 00,601398,70335746,2634554605,4604236,2639158841,5.3
2019-10-09 00,601398,105237679,2695567493,5444964,2701012457,5.32
2019-10-10 00,601398,34424542,2638478188,2873451.6,2641351639.6,5.31
2019-10-11 00,601398,57905008,2620388262,4795015.2,2625183277.2,5.38
2019-10-14 00,601398,140716628,2644801077,13303461.6,2658104538.6,5.46
2019-10-15 00,601398,81837534,2642310112,8681701.6,2650991813.6,5.46
2019-10-16 00,601398,108802691,2705979373,10303321.6,2716282694.6,5.46
2019-10-17 00,601398,39649531,2711144426,8017982,2719162408,5.45
2019-10-18 00,601398,37050163,2643283428,8340570,2651623998,5.41
2019-10-21 00,601398,114112484,2643900515,11423091,2655323606,5.53
2019-10-22 00,601398,96902279,2667101211,9796822,2676898033,5.55
2019-10-23 00,601398,81012838,2658059326,16693693,2674753019,5.61
2019-10-24 00,601398,267422668,2827678312,15746016,2843424328,5.66
2019-10-25 00,601398,89392346,2633997362,37209952,2671207314,5.72
2019-10-28 00,601398,174817872,2742567024,37238621,2779805645,5.67
2019-10-29 00,601398,84196242,2711110254,35296293,2746406547,5.65
2019-10-30 00,601398,48189748,2619564946,50331645,2669896591,5.69
2019-10-31 00,601398,101516020,2659234494,48839649,2708074143,5.65
2019-11-01 00,601398,46070239,2605468898,46589202,2652058100,5.68
2019-11-04 00,601398,96319304,2629092202,31992160,2661084362,5.64
2019-11-05 00,601398,112883361,2570149907,34677584,2604827491,5.66
2019-11-06 00,601398,158205393,2564553111,36948028,2601501139,5.72
2019-11-07 00,601398,112869234,2602510214,33262880,2635773094,5.69
2019-11-08 00,601398,127981483,2596543715,29699265,2626242980,5.61
2019-11-11 00,601398,128079837,2640182469,28536112,2668718581,5.51
2019-11-12 00,601398,75942345,2609038111,28421740,2637459851,5.54
2019-11-13 00,601398,102647711,2624003884,34440592.4,2658444476.4,5.52
2019-11-14 00,601398,55477488,2632039709,31603322.5,2663643031.5,5.49
2019-11-15 00,601398,51765903,2613145715,28616727.6,2641762442.6,5.53
2019-11-18 00,601398,52067525,2593192168,28975044.6,2622167212.6,5.56
2019-11-19 00,601398,15456983,2553108647,28527700.5,2581636347.5,5.59
2019-11-20 00,601398,38662458,2556812634,29498974,2586311608,5.54
2019-11-21 00,601398,113260263,2613545099,35793762.9,2649338861.9,5.47
2019-11-22 00,601398,59434577,2605346969,25899018.3,2631245987.3,5.45
2019-11-25 00,601398,94179661,2549606005,36392783.9,2585998788.9,5.57
2019-11-26 00,601398,77073513,2507105047,32327275.5,2539432322.5,5.59
2019-11-27 00,601398,46038757,2453716614,32595838.8,2486312452.8,5.62
2019-11-28 00,601398,74195689,2439858373,30219080,2470077453,5.58
2019-11-29 00,601398,81704293,2464966720,30622731,2495589451,5.53
2019-12-02 00,601398,53509933,2467657636,29848875,2497506511,5.55
2019-12-03 00,601398,38264972,2477273358,29911140,2507184498,5.53
2019-12-04 00,601398,64618152,2482929853,29941056,2512870909,5.5
2019-12-05 00,601398,21915929,2455722616,27989693,2483712309,5.51
2019-12-06 00,601398,96823440,2504484486,25152225,2529636711,5.49
2019-12-09 00,601398,84630217,2512232284,26587106,2538819390,5.48
2019-12-10 00,601398,79586325,2564452164,27759570,2592211734,5.44
2019-12-11 00,601398,36225828,2481682140,27363675,2509045815,5.49
