bankuai,stock_date,zhangdiee
水产品,2020-12-17,0.203
文化振兴,2020-12-17,0.046
智能机器,2020-12-17,0.085
小米概念,2020-12-22,-0.333
涉矿概念,2020-12-29,-0.135
雄安新区,2021-01-12,0.167
仿制药,2020-12-25,0.737
抗癌,2020-12-25,0.095
业绩预升,2020-12-25,0.26
新能源,2020-12-25,0.295
股期概念,2021-01-05,0.03
循环经济,2021-01-06,-0.019
触摸屏,2021-01-08,0.039
食品安全,2020-12-21,0.14
超大盘,2021-01-13,0.067
迪士尼,2021-01-07,-0.117
物联网,2020-12-30,0.175
图们江,2020-12-30,0.373
互联金融,2020-12-31,0.876
国产软件,2020-12-24,-0.406
社保重仓,2020-12-24,-0.379
重组概念,2021-01-04,0.243
基金重仓,2020-12-17,0.992
物联网,2020-12-22,-0.242
含B股,2021-01-12,0.094
前海概念,2021-01-12,0.136
华为概念,2020-12-25,0.001
体育概念,2021-01-06,-0.054
基因测序,2021-01-06,0.432
上海自贸,2021-01-06,0.034
机器人概念,2021-01-08,0.029
国企改革,2020-12-21,0.001
超导概念,2021-01-07,0.006
业绩预升,2021-01-07,0.117
页岩气,2020-12-31,0.105
生物疫苗,2020-12-24,-0.48
婴童概念,2020-12-17,0.371
甲型流感,2021-01-11,-0.266
风能,2021-01-12,0.123
重组概念,2021-01-05,0.128
京津冀,2021-01-05,-0.021
互联金融,2021-01-08,0.094
准ST股,2021-01-08,-0.165
含H股,2020-12-21,0.255
风能,2020-12-21,0.223
体育概念,2021-01-13,-0.19
整体上市,2021-01-13,0.026
内贸规划,2021-01-07,-0.301
送转潜力,2021-01-07,-0.303
东亚自贸,2020-12-30,0.026
海峡西岸,2020-12-31,0.268
出口退税,2020-12-23,0.105
汽车电子,2020-12-17,0.053
社保重仓,2020-12-17,0.507
内贸规划,2021-01-11,-0.188
免疫治疗,2020-12-22,0.211
民营医院,2020-12-28,-0.266
猪肉,2020-12-29,-0.281
三沙概念,2020-12-18,-0.036
碳纤维,2020-12-18,0.019
锂电池,2021-01-08,-0.223
赛马概念,2020-12-21,-0.013
分拆上市,2020-12-21,0.032
业绩预升,2021-01-13,-0.198
股期概念,2021-01-13,-0.114
海水淡化,2021-01-07,0.127
消费电子,2020-12-30,0.189
超级细菌,2020-12-31,0.112
生态农业,2020-12-23,0.512
维生素,2021-01-11,-0.358
固废处理,2021-01-11,-0.188
绿色照明,2020-12-22,-0.178
军工航天,2020-12-29,-0.067
京津冀,2020-12-29,-0.07
小米概念,2020-12-25,-0.048
卫星导航,2020-12-25,0.068
金融改革,2020-12-25,0.064
前海概念,2021-01-05,0.195
涉矿概念,2021-01-06,-0.061
摘帽概念,2021-01-06,-0.054
博彩概念,2021-01-06,-0.156
含H股,2021-01-08,0.099
垃圾分类,2021-01-13,-0.078
生物燃料,2021-01-13,-0.182
核电核能,2020-12-30,-0.018
3D打印,2020-12-31,0.22
生物燃料,2020-12-24,-0.054
固废处理,2020-12-23,0.064
黄金概念,2020-12-17,0.084
国产软件,2020-12-17,-0.098
军工航天,2020-12-22,-0.371
核电核能,2020-12-28,-0.036
特斯拉,2020-12-28,-0.015
稀缺资源,2020-12-29,-0.566
图们江,2020-12-25,0.571
融资融券,2021-01-05,0.233
武汉规划,2021-01-08,0.215
风能概念,2021-01-07,0.001
含B股,2020-12-31,0.111
信托重仓,2020-12-31,0.259
出口退税,2020-12-31,0.151
小米概念,2020-12-23,0.259
前海概念,2020-12-23,0.196
智能家居,2021-01-04,0.133
博彩概念,2021-01-11,-0.233
机器人概念,2020-12-29,-0.063
含H股,2021-01-12,0.384
黄河三角,2020-12-25,0.125
参股金融,2021-01-13,-0.05
摘帽概念,2020-12-31,0.397
参股金融,2020-12-24,-0.1
金融参股,2021-01-11,-0.157
军民融合,2020-12-29,0.008
食品安全,2021-01-05,0.118
聚氨酯,2021-01-05,0.305
互联金融,2021-01-05,0.149
核电核能,2021-01-06,-0.135
婴童概念,2021-01-06,0.674
高校背景,2021-01-06,-0.068
风能,2020-12-18,0.053
婴童概念,2021-01-13,-0.563
QFII重仓,2021-01-07,0.508
黄金概念,2020-12-31,0.113
互联金融,2020-12-22,-0.766
信托重仓,2020-12-22,-0.204
触摸屏,2020-12-28,-0.294
消费电子,2020-12-29,0.245
污水处理,2020-12-29,0.017
油气改革,2020-12-29,0.04
出口退税,2021-01-06,0.187
宽带提速,2020-12-18,-0.118
特斯拉,2021-01-08,-0.093
稀缺资源,2020-12-21,0.398
消费电子,2021-01-07,-0.26
民营银行,2021-01-07,-0.055
信托重仓,2020-12-30,0.241
上海本地,2020-12-30,-0.005
建筑节能,2020-12-24,-0.033
地热能,2021-01-04,0.156
石墨烯,2020-12-17,0.093
消费电子,2020-12-28,-0.388
乡村振兴,2021-01-12,0.339
送转潜力,2021-01-12,0.063
业绩预降,2021-01-05,-0.127
土地流转,2021-01-08,0.002
乡村振兴,2020-12-21,0.734
水利建设,2020-12-30,-0.013
民营银行,2020-12-31,0.182
低碳经济,2020-12-24,-0.05
含H股,2021-01-04,0.288
前海概念,2021-01-04,0.334
维生素,2020-12-17,0.186
黄金概念,2020-12-22,-0.324
博彩概念,2020-12-22,-0.331
智能家居,2020-12-28,-0.137
本月解禁,2020-12-28,-0.214
文化振兴,2021-01-12,0.015
迪士尼,2021-01-12,-0.02
无线耳机,2020-12-25,-0.11
页岩气,2020-12-25,0.206
高校背景,2020-12-25,0.124
免疫治疗,2021-01-06,-0.003
稀缺资源,2021-01-06,-0.076
东亚自贸,2021-01-06,-0.211
含H股,2020-12-18,0.001
奢侈品,2021-01-08,-5.139
电子支付,2020-12-24,-0.252
智能机器,2020-12-24,-0.255
民营医院,2020-12-24,0.146
5G概念,2020-12-17,0.103
可燃冰,2020-12-29,-0.011
朝鲜改革,2021-01-05,0.03
充电桩,2021-01-05,-0.06
黄金概念,2021-01-06,-0.108
光伏概念,2020-12-18,0.267
海上丝路,2020-12-18,-0.29
成渝特区,2021-01-08,-0.083
石墨烯,2021-01-08,-0.275
ST板块,2021-01-13,-0.102
海峡西岸,2021-01-07,-0.124
生态农业,2021-01-07,-0.18
汽车电子,2020-12-30,0.536
无线耳机,2020-12-24,0.104
体育概念,2020-12-24,-0.244
智能机器,2020-12-23,0.082
电商概念,2021-01-11,-0.491
海南自贸,2020-12-22,0.051
国防军工,2020-12-28,-0.287
循环经济,2020-12-29,-0.129
民营银行,2021-01-12,0.193
充电桩,2020-12-25,0.247
博彩概念,2020-12-18,-0.125
超级细菌,2021-01-08,0.583
整体上市,2020-12-21,0.096
长株潭,2021-01-13,0.049
生物疫苗,2021-01-13,-0.561
智能家居,2021-01-13,-0.005
超级细菌,2021-01-07,-0.218
振兴沈阳,2021-01-07,-0.104
沿海发展,2020-12-30,0.232
成渝特区,2020-12-31,0.2
绿色照明,2020-12-31,0.154
金融参股,2020-12-23,0.022
水产品,2020-12-22,0.21
氢能源,2020-12-22,-0.114
金融参股,2020-12-22,-0.152
长株潭,2020-12-28,0.125
污水处理,2020-12-28,-0.047
深圳本地,2021-01-12,0.101
民营银行,2021-01-05,0.152
股权激励,2021-01-05,0.211
保险重仓,2021-01-06,0.601
业绩预降,2021-01-08,0.036
武汉规划,2020-12-21,0.181
保险重仓,2020-12-21,0.193
成渝特区,2021-01-13,-0.223
皖江区域,2020-12-31,0.285
国防军工,2020-12-24,0.26
机器人概念,2020-12-23,0.213
信息安全,2020-12-23,-0.056
基金重仓,2021-01-04,0.671
氢燃料,2021-01-11,-0.84
超级细菌,2020-12-22,0.066
互联金融,2020-12-28,-0.223
保险重仓,2020-12-28,0.385
智能机器,2020-12-25,0.068
涉矿概念,2021-01-05,0.101
赛马概念,2021-01-05,-0.026
信息安全,2021-01-05,-0.063
文化振兴,2020-12-21,0.034
海工装备,2021-01-13,-0.008
电商概念,2021-01-07,-1.047
股期概念,2021-01-07,-0.089
特斯拉,2020-12-31,0.343
婴童概念,2021-01-11,-0.744
朝鲜改革,2020-12-22,-0.244
军民融合,2020-12-28,-0.21
触摸屏,2020-12-29,-0.061
网络游戏,2020-12-29,0.228
业绩预升,2020-12-29,-0.162
超导概念,2021-01-12,0.045
信息安全,2021-01-12,0.072
赛马概念,2020-12-18,0.02
皖江区域,2021-01-08,0.01
送转潜力,2021-01-13,-0.169
央企50,2021-01-13,0.154
深圳本地,2021-01-07,-0.22
保险重仓,2020-12-30,0.994
摘帽概念,2020-12-24,-0.261
网络游戏,2020-12-24,-0.263
生物育种,2020-12-24,-0.433
振兴沈阳,2020-12-23,0.078
重组概念,2020-12-28,-0.156
智能家居,2021-01-12,-0.047
日韩贸易,2021-01-12,0.236
体育概念,2021-01-05,0.238
5G概念,2021-01-06,-0.276
低碳经济,2021-01-06,0.048
汽车电子,2021-01-06,-0.33
外资背景,2021-01-06,0.026
社保重仓,2021-01-06,0.461
宽带提速,2020-12-30,-0.033
三沙概念,2020-12-31,0.067
迪士尼,2020-12-24,-0.233
乡村振兴,2020-12-23,0.591
海水淡化,2020-12-23,0.188
建筑节能,2021-01-04,0.245
稀缺资源,2021-01-11,-0.615
网络游戏,2021-01-11,-0.014
无线耳机,2020-12-22,-1.239
体育概念,2020-12-22,-0.054
文化振兴,2020-12-28,-0.089
海工装备,2020-12-29,-0.032
业绩预升,2021-01-12,0.238
沿海发展,2021-01-12,0.474
节能环保,2020-12-25,0.103
氢燃料,2021-01-05,0.33
振兴沈阳,2021-01-05,0.11
建筑节能,2021-01-06,-0.012
超大盘,2020-12-18,-0.045
前海概念,2021-01-08,-0.063
抗癌,2021-01-07,-0.203
海上丝路,2020-12-30,0.565
图们江,2020-12-24,-0.517
分拆上市,2020-12-23,-0.068
电商概念,2021-01-04,0.074
乡村振兴,2020-12-28,0.21
三沙概念,2020-12-28,-0.057
基因概念,2020-12-29,-0.279
外资背景,2020-12-29,-0.366
日韩贸易,2021-01-05,0.024
业绩预升,2021-01-08,-0.06
节能环保,2021-01-08,0.009
券商重仓,2021-01-08,-0.081
国防军工,2021-01-13,-0.489
外资背景,2021-01-13,-0.316
皖江区域,2020-12-30,0.192
石墨烯,2020-12-30,0.255
抗癌,2020-12-31,0.382
循环经济,2020-12-24,-0.025
海水淡化,2021-01-04,0.415
上海本地,2021-01-04,0.076
海峡西岸,2020-12-17,0.13
智能穿戴,2021-01-12,0.127
垃圾分类,2020-12-18,-0.117
电商概念,2020-12-18,-0.078
建筑节能,2020-12-21,0.093
绿色照明,2020-12-21,0.207
乡村振兴,2021-01-13,-0.387
出口退税,2021-01-13,-0.02
国产软件,2021-01-07,-0.706
海南自贸,2020-12-31,0.58
金融改革,2021-01-11,-0.204
绿色照明,2021-01-11,0.068
国企改革,2020-12-28,0.013
成渝特区,2020-12-29,-0.21
乡村振兴,2021-01-05,0.164
风能概念,2021-01-05,-0.083
出口退税,2021-01-05,0.076
垃圾分类,2021-01-06,-0.09
超导概念,2021-01-06,-0.146
海上丝路,2021-01-08,-0.238
基因概念,2021-01-13,-0.774
光伏概念,2021-01-07,1.009
金融参股,2021-01-07,-0.111
券商重仓,2021-01-07,0.058
免疫治疗,2021-01-04,0.027
武汉规划,2020-12-17,0.108
水域改革,2020-12-17,0.108
国产软件,2020-12-22,-0.535
前海概念,2020-12-28,-0.193
三沙概念,2021-01-06,-0.114
超大盘,2021-01-08,0.128
含GDR,2020-12-21,0.01
免疫治疗,2020-12-21,0.173
氢燃料,2020-12-21,0.28
食品安全,2020-12-30,0.017
保险重仓,2020-12-31,1.129
朝鲜改革,2020-12-23,-0.094
汽车电子,2020-12-23,-0.027
本月解禁,2020-12-17,0.125
资产注入,2020-12-17,0.11
央企50,2021-01-11,-0.153
食品安全,2020-12-29,0.066
社保重仓,2021-01-12,0.957
股权激励,2020-12-18,-0.113
长株潭,2021-01-08,-0.16
婴童概念,2020-12-21,0.47
海上丝路,2021-01-13,0.649
黄河三角,2021-01-07,0.037
充电桩,2020-12-24,-0.209
成渝特区,2021-01-04,0.4
民营医院,2020-12-17,0.392
智能穿戴,2020-12-29,0.442
猪肉,2021-01-12,0.235
整体上市,2021-01-12,0.27
低碳经济,2020-12-25,0.216
涉矿概念,2020-12-25,0.067
赛马概念,2020-12-25,0.011
奢侈品,2021-01-05,5.418
3D打印,2021-01-05,0.037
文化振兴,2021-01-08,0.115
建筑节能,2021-01-08,0.087
振兴沈阳,2021-01-08,-0.006
成渝特区,2021-01-07,-0.077
低碳经济,2020-12-30,0.098
抗癌,2020-12-24,-0.013
奢侈品,2020-12-17,2.086
触摸屏,2021-01-11,0.07
循环经济,2020-12-22,-0.182
地热能,2020-12-28,0.005
苹果概念,2020-12-28,-0.141
整体上市,2020-12-29,-0.126
基金重仓,2020-12-25,0.315
生物育种,2021-01-06,0.041
国产软件,2020-12-18,-0.257
华为概念,2021-01-08,0.197
核电核能,2021-01-13,-0.027
保险重仓,2021-01-13,-0.331
长株潭,2021-01-07,0.284
机器人概念,2021-01-07,-0.071
地热能,2020-12-30,-0.026
陕甘宁,2020-12-30,0.201
超大盘,2020-12-24,-0.02
国产软件,2020-12-23,0.124
文化振兴,2021-01-04,0.042
风能概念,2020-12-17,0.077
成渝特区,2021-01-11,-0.431
三沙概念,2021-01-11,-0.18
充电桩,2020-12-22,-0.354
外资背景,2020-12-28,0.349
文化振兴,2020-12-29,0.044
民营医院,2020-12-29,0.122
可燃冰,2020-12-25,0.204
成渝特区,2021-01-05,0.407
油气改革,2021-01-05,-0.026
小米概念,2021-01-06,-0.446
黄河三角,2021-01-06,-0.008
自贸区,2020-12-18,-0.04
整体上市,2021-01-08,-0.062
仿制药,2020-12-24,-0.97
聚氨酯,2020-12-24,-0.008
碳纤维,2020-12-23,0.111
智能电网,2021-01-04,0.642
军工航天,2021-01-04,0.834
垃圾分类,2020-12-17,0.068
百度概念,2020-12-29,0.074
社保重仓,2020-12-29,-0.264
锂电池,2020-12-25,0.672
核电核能,2021-01-05,-0.035
聚氨酯,2021-01-06,0.014
智能电网,2020-12-18,0.127
高校背景,2021-01-08,0.256
超导概念,2021-01-13,-0.101
新能源,2021-01-13,-0.022
含B股,2021-01-07,-0.23
地热能,2021-01-07,-0.234
分拆上市,2020-12-30,0.253
土地流转,2021-01-04,0.133
婴童概念,2021-01-04,-0.223
信息安全,2020-12-17,0.116
电子支付,2020-12-29,0.246
赛马概念,2020-12-29,-0.034
上海本地,2020-12-25,0.011
海南自贸,2021-01-05,-0.065
固废处理,2021-01-06,-0.037
东亚自贸,2020-12-18,-0.028
基金重仓,2020-12-18,-0.126
海峡西岸,2020-12-21,0.194
智能电网,2021-01-07,0.122
页岩气,2021-01-07,-0.054
陕甘宁,2021-01-07,0.098
前海概念,2020-12-17,0.135
免疫治疗,2021-01-11,-0.283
机器人概念,2020-12-22,-0.382
绿色照明,2020-12-28,-0.155
金融参股,2020-12-29,-0.06
参股金融,2021-01-12,0.097
光伏概念,2021-01-06,-0.238
智能电网,2021-01-13,-0.206
重组概念,2021-01-13,-0.144
上海本地,2021-01-13,-0.058
自贸区,2021-01-07,0.07
券商重仓,2020-12-31,0.398
百度概念,2020-12-28,0.159
智能机器,2020-12-29,0.016
智能机器,2021-01-12,0.107
高校背景,2021-01-12,-0.02
婴童概念,2020-12-25,0.007
金融改革,2021-01-05,0.066
含B股,2020-12-18,0.063
氢能源,2021-01-08,0.007
电商概念,2021-01-08,0.245
海南自贸,2020-12-21,0.297
互联金融,2020-12-21,-0.107
奢侈品,2021-01-07,3.828
无线耳机,2020-12-23,0.706
天津自贸,2020-12-17,0.067
水利建设,2020-12-29,-0.023
武汉规划,2021-01-05,0.182
华为概念,2021-01-06,-0.662
天津自贸,2020-12-18,-0.019
迪士尼,2020-12-18,-0.088
循环经济,2020-12-18,-0.021
基因概念,2021-01-08,0.369
信托重仓,2020-12-24,-0.024
券商重仓,2020-12-23,0.287
参股金融,2021-01-04,0.062
地热能,2021-01-11,-0.245
生物育种,2021-01-11,-0.191
融资融券,2020-12-28,0.407
物联网,2021-01-12,0.131
仿制药,2021-01-08,0.472
海水淡化,2021-01-13,-0.182
资产注入,2021-01-13,-0.073
天津自贸,2020-12-30,0.061
风能概念,2020-12-31,0.046
摘帽概念,2021-01-04,0.945
智能机器,2021-01-04,0.167
沿海发展,2021-01-04,0.129
国企改革,2021-01-11,-0.285
科创50,2020-12-28,-0.438
朝鲜改革,2021-01-12,0.382
智能电网,2020-12-25,0.29
雄安新区,2020-12-18,0.056
锂电池,2020-12-18,0.298
节能环保,2020-12-18,-0.077
智能穿戴,2020-12-21,0.508
民营医院,2021-01-13,-0.478
循环经济,2021-01-13,-0.054
土地流转,2021-01-07,-0.16
雄安新区,2020-12-30,0.085
苹果概念,2020-12-31,0.339
超大盘,2020-12-23,0.097
仿制药,2020-12-17,1.812
物联网,2020-12-17,0.049
雄安新区,2020-12-22,-0.175
赛马概念,2020-12-22,-0.028
猪肉,2020-12-22,-0.366
基因概念,2020-12-28,-0.169
信息安全,2020-12-28,-0.145
日韩贸易,2020-12-25,0.006
新能源,2020-12-18,0.105
武汉规划,2021-01-13,0.048
信息安全,2021-01-07,-0.433
赛马概念,2020-12-30,0.013
未股改,2020-12-30,0.103
朝鲜改革,2020-12-31,0.321
百度概念,2020-12-31,0.388
稀缺资源,2020-12-24,-0.046
军民融合,2020-12-23,0.352
黄河三角,2020-12-23,0.03
文化振兴,2021-01-11,-0.08
页岩气,2020-12-29,-0.055
核电核能,2020-12-25,0.2
国防军工,2021-01-05,0.112
水域改革,2021-01-06,-0.301
QFII重仓,2021-01-08,-0.61
国防军工,2020-12-21,0.625
三沙概念,2021-01-13,-0.116
循环经济,2021-01-07,-0.186
超级细菌,2020-12-30,-0.092
