bankuai,top_stock_name,cnt,rank
海水淡化,天壕环境,15,5
股期概念,宏达股份,15,4
股期概念,甘肃电投,15,5
空气治理,泰达股份,15,1
婴童概念,*ST群兴,15,5
保险重仓,江淮汽车,15,1
东亚自贸,渤海轮渡,15,3
东亚自贸,宁波海运,15,4
东亚自贸,中广核技,15,5
循环经济,TCL科技,15,2
固废处理,雪浪环境,15,3
物联网,青岛中程,15,1
油气改革,龙宇燃油,15,3
页岩气,紫金矿业,15,2
充电桩,中能电气,15,2
生物疫苗,达安基因,15,2
污水处理,南方汇通,15,2
聚氨酯,华峰氨纶,15,4
海峡西岸,乾照光电,15,1
海峡西岸,中能电气,15,2
朝鲜改革,曙光股份,14,4
朝鲜改革,吉林森工,14,5
黄河三角,未名医药,14,1
汽车电子,富奥股份,14,3
基金重仓,金种子酒,14,1
沿海发展,中航高科,14,4
沿海发展,国电南自,14,5
土地流转,强生控股,14,3
含GDR,雅本化学,14,2
股权激励,青岛中程,14,1
海工装备,银邦股份,14,4
机器人概念,中航高科,14,2
触摸屏,风华高科,14,2
含H股,一拖股份,14,2
智能电网,国轩高科,14,2
小米概念,银禧科技,14,1
5G概念,邦讯技术,14,2
循环经济,永清环保,14,3
金融改革,西藏药业,14,2
卫星导航,深 赛 格,14,5
物联网,安居宝,14,2
摘帽概念,深南股份,14,3
苹果概念,金发科技,14,3
油气改革,国际实业,14,4
博彩概念,中体产业,14,2
整体上市,航天长峰,14,2
免疫治疗,佐力药业,13,5
内贸规划,越秀金控,13,4
内贸规划,小商品城,13,5
乡村振兴,荃银高科,13,3
乡村振兴,通威股份,13,4
融资融券,鹏博士,13,1
风能概念,保变电气,13,4
分拆上市,华北制药,13,1
分拆上市,泰达股份,13,2
图们江,*ST九有,13,4
未股改,ST毅达,13,5
汽车电子,大唐电信,13,4
无线耳机,赣锋锂业,13,1
无线耳机,赛腾股份,13,2
出口退税,克劳斯,13,2
氢能源,富瑞特装,13,3
氢能源,*ST猛狮,13,4
垃圾分类,润邦股份,13,3
垃圾分类,易事特,13,4
体育概念,信隆健康,13,3
文化振兴,歌华有线,13,3
文化振兴,天音控股,13,4
文化振兴,华谊兄弟,13,5
海工装备,润邦股份,13,5
机器人概念,科大智能,13,3
机器人概念,钱江摩托,13,4
触摸屏,横店东磁,13,3
触摸屏,汉王科技,13,4
基因概念,哈高科,13,3
长株潭,金健米业,13,1
长株潭,大湖股份,13,2
网络游戏,神州泰岳,13,2
国企改革,百联股份,13,2
国企改革,金枫酒业,13,3
国企改革,ST毅达,13,4
智能电网,亿纬锂能,13,3
智能电网,国电南自,13,4
小米概念,诚迈科技,13,2
空气治理,京运通,13,2
武汉规划,鼎龙股份,13,3
5G概念,*ST信通,13,3
华为概念,吉林森工,13,1
石墨烯,豫金刚石,13,2
海南自贸,京粮控股,13,2
固废处理,华电能源,13,4
雄安新区,嘉寓股份,13,1
雄安新区,河钢资源,13,2
雄安新区,保变电气,13,3
苹果概念,铜峰电子,13,4
页岩气,吉艾科技,13,3
安防服务,安居宝,13,1
博彩概念,ST岩石,13,3
博彩概念,高鸿股份,13,4
聚氨酯,红 宝 丽,13,5
科创50,铂力特,13,1
陕甘宁,供销大集,12,2
电子支付,紫光国微,12,2
电子支付,*ST信通,12,3
智能机器,科大智能,12,5
3D打印,中航重机,12,2
央企50,光大证券,12,5
分拆上市,杉杉股份,12,3
金融参股,华北制药,12,1
图们江,长春高新,12,5
特斯拉,派生科技,12,3
汽车电子,云意电气,12,5
