stock_index,dadan_cnt,dt_cnt,last_date,avg_daily_dadan_cnt
s603927,1,1,2020-12-22,1.0
s603931,2,1,2021-02-09,2.0
s603936,5,2,2021-02-19,2.0
s603939,114,35,2021-02-23,3.0
s603949,3,2,2021-01-21,2.0
s603959,6,5,2021-01-25,1.0
s603960,8,4,2021-01-14,2.0
s603969,1,1,2021-01-21,1.0
s603970,1,1,2021-01-11,1.0
s603976,25,18,2021-02-23,1.0
s603979,23,11,2021-02-23,2.0
s603982,11,7,2021-02-05,2.0
s603983,2,1,2021-02-10,2.0
s603985,2,2,2021-01-27,1.0
s603986,1221,44,2021-02-23,28.0
s603987,25,7,2021-02-10,4.0
s603989,2,1,2020-12-28,2.0
s603990,1,1,2021-02-02,1.0
s603993,3711,44,2021-02-23,84.0
s603995,2,2,2021-01-05,1.0
s603997,2,2,2021-02-03,1.0
s605005,21,5,2021-02-04,4.0
s605006,26,8,2021-02-23,3.0
s605007,6,6,2021-01-04,1.0
s605008,9,6,2021-02-01,2.0
s605009,53,25,2021-01-28,2.0
s605018,55,12,2021-02-19,5.0
s605055,21,6,2021-02-18,4.0
s605058,1,1,2021-01-26,1.0
s605068,2,1,2021-01-19,2.0
s605077,31,3,2021-02-23,10.0
s605081,6,3,2021-02-18,2.0
s605088,4,3,2020-12-30,1.0
s605099,7,6,2021-02-19,1.0
s605111,59,31,2021-02-19,2.0
s605123,3,3,2021-01-13,1.0
s605136,9,6,2021-02-19,2.0
s605151,8,5,2021-01-20,2.0
s605155,60,10,2021-02-03,6.0
s605168,5,5,2021-02-18,1.0
s605179,27,8,2021-01-25,3.0
s605183,18,4,2021-01-28,4.0
s605186,21,5,2021-01-04,4.0
s605188,2,1,2021-01-22,2.0
s605198,1,1,2021-01-20,1.0
s605199,1,1,2021-02-03,1.0
s605218,1,1,2021-01-26,1.0
s605228,19,4,2021-02-03,5.0
s605255,10,6,2021-02-03,2.0
s605258,3,1,2020-12-16,3.0
s605266,4,2,2021-01-12,2.0
s605277,1,1,2021-01-13,1.0
s605288,3,3,2021-01-04,1.0
s605299,5,4,2021-02-05,1.0
s605318,1,1,2020-12-17,1.0
s605333,2,1,2021-01-26,2.0
s605337,11,3,2021-02-22,4.0
s605338,8,7,2021-02-10,1.0
s605358,189,41,2021-02-22,5.0
s605366,1,1,2021-01-26,1.0
s605368,6,2,2021-02-01,3.0
s605369,1,1,2020-12-23,1.0
s605376,273,38,2021-02-22,7.0
s605377,3,2,2020-12-30,2.0
s605388,13,8,2021-02-08,2.0
s605398,5,4,2021-02-02,1.0
s605500,2,2,2021-01-15,1.0
