stock_index,stock_date,K,D,macd_5,macd_21
601808,2021-01-27,72.626,71.876,-0.248,0.46299999999999997
2120,2021-01-27,73.235,54.629,0.491,0.6629999999999999
2008,2021-01-27,73.367,79.05199999999999,-0.779,1.374
600519,2021-01-27,75.253,80.193,-5.795,27.605
600588,2021-01-27,75.303,65.753,0.7979999999999999,1.0070000000000001
2027,2021-01-27,76.11399999999999,74.69800000000001,-0.149,0.18100000000000002
600019,2021-01-27,76.196,64.81,0.07200000000000001,0.107
2044,2021-01-27,76.459,69.655,0.18600000000000003,0.79
688009,2021-01-27,76.798,83.05799999999999,-1.345,2.889
2410,2021-01-27,76.798,83.05799999999999,-1.345,2.889
2230,2021-01-27,77.172,76.541,-0.054000000000000006,2.04
601658,2021-01-27,77.182,65.205,0.026000000000000002,0.147
603899,2021-01-27,77.262,79.266,-0.502,0.9470000000000001
2371,2021-01-27,77.41199999999999,80.237,-3.909,9.675
2460,2021-01-27,77.482,79.514,-0.491,5.921
2271,2021-01-27,77.688,78.755,-0.535,2.2769999999999997
601166,2021-01-27,77.946,72.509,-0.061,0.43799999999999994
601012,2021-01-27,78.209,76.852,1.463,4.745
603799,2021-01-27,78.439,73.944,3.0269999999999997,4.361000000000001
300014,2021-01-27,78.638,78.61,1.645,5.23
600690,2021-01-27,78.652,79.597,-0.402,0.677
300628,2021-01-27,78.953,74.788,-0.353,1.81
2352,2021-01-27,79.035,74.35300000000001,0.685,2.5469999999999997
100,2021-01-27,79.459,77.638,-0.126,0.489
603833,2021-01-27,79.557,69.018,3.458,2.448
2001,2021-01-27,79.734,79.875,-0.49200000000000005,1.1
300059,2021-01-27,80.185,80.748,-0.6990000000000001,1.682
300413,2021-01-27,80.304,80.859,-1.159,3.736
600763,2021-01-27,80.414,80.702,0.75,6.7010000000000005
601225,2021-01-27,81.038,71.815,0.013999999999999999,0.22
300408,2021-01-27,81.062,78.63600000000001,-0.14400000000000002,0.8690000000000001
600660,2021-01-27,81.744,82.229,0.415,2.622
300529,2021-01-27,81.765,78.663,0.45899999999999996,2.305
600036,2021-01-27,81.862,75.262,-0.262,1.3419999999999999
2594,2021-01-27,82.19,77.171,3.7060000000000004,7.481
338,2021-01-27,82.667,76.143,0.066,0.616
600111,2021-01-27,82.67,78.918,0.35200000000000004,1.022
603259,2021-01-27,83.346,83.955,2.039,8.347999999999999
