112,中国人寿保险股份有限公司（台湾）,"China Life Insurance Co., Ltd.（Taiwan）",台湾,建设银行,2011/10/26
113,新光人寿保险股份有限公司,"Shin Kong Life Insurance Co., Ltd.",台湾,中国银行,2011/10/26
114,普林斯顿大学,Princeton University,美国,汇丰银行,2011/11/25
115,加拿大年金计划投资委员会,Canada Pension Plan Investment Board,加拿大,汇丰银行,2011/12/9
116,泛达公司,Van Eck Associates Corporation,美国,工商银行,2011/12/9
117,瀚博环球投资公司,"Hansberger Global Investors, Inc.",美国,渣打银行,2011/12/13
118,安耐德合伙人有限公司,EARNEST Partners LLC,美国,建设银行,2011/12/13
119,泰国银行,Bank of Thailand,泰国,汇丰银行,2011/12/16
120,科威特政府投资局,Kuwait Investment Authority,科威特,工商银行,2011/12/21
121,北美信托环球投资公司,Northern Trust Global Investments Limited,英国,交通银行,2011/12/21
122,台湾人寿保险股份有限公司,"Taiwan Life Insurance Co., Ltd.",台湾,工商银行,2011/12/21
123,韩国银行,The Bank of Korea,韩国,汇丰银行,2011/12/21
124,安大略省教师养老金计划委员会,Ontario Teachers' Pension Plan Board,加拿大,汇丰银行,2011/12/22
125,韩国投资公司,Korea Investment Corporation,韩国,汇丰银行,2011/12/28
126,罗素投资爱尔兰有限公司 ,Russell Investments Ireland Limited,爱尔兰,汇丰银行,2011/12/28
127,迈世勒资产管理有限责任公司,Metzler Asset Management GmbH,德国,工商银行,2011/12/31
128,华宜资产运用有限公司,"HI Asset Management Co., Linmited.",韩国,工商银行,2011/12/31
129,新韩法国巴黎资产运用株式会社,"Shinhan BNP Paribas Asset Management Co., Ltd.",韩国,汇丰银行,2012/1/5
130,家庭医生退休基金,Stichting Pensioenfonds voor Huisartsen,荷兰,汇丰银行,2012/1/5
131,国民年金公团（韩国）,National Pension Service,韩国,花旗银行,2012/1/5
132,三商美邦人寿保险股份有限公司,"Mercuries Life Insurance Co,Ltd",台湾,汇丰银行,2012/1/30
133,保德信证券投资信托股份有限公司,Prudential Financial Securities Investment Trust Enterprise,台湾,汇丰银行,2012/1/31
134,信安环球投资有限公司,Principal Global Investors LLC,美国,建设银行,2012/1/31
135,医院管理局公积金计划,Hospital Authority Provident Fund Scheme,香港,汇丰银行,2012/1/31
136,全球人寿保险股份有限公司,TransGlobe Life Insurance Inc.,台湾,花旗银行,2012/2/3
137,大众信托基金有限公司,Public Mutual Berhad,马来西亚,花旗银行,2012/2/3
138,明治安田资产管理有限公司,Meiji Yasuda Asset Management Company Ltd.,日本,花旗银行,2012/2/27
139,国泰人寿保险股份有限公司,"Cathay Life Insurance Co., LTD.",台湾,中国银行,2012/2/28
140,三井住友银行株式会社,Sumitomo Mitsui Banking Corporation,日本,中国银行,2012/2/28
141,富邦人寿保险股份有限公司,Fubon Life Insurance Co. Ltd,台湾,花旗银行,2012/3/1
142,友邦保险有限公司,AIA Company Limited,香港,中国银行,2012/3/5
143,纽伯格伯曼欧洲有限公司,Neuberger Berman Europe Limited,英国,工商银行,2012/3/5
144,马来西亚国库控股公司,KHAZANAH NASIONAL BERHAD,马来西亚,工商银行,2012/3/7
145,资金研究与管理公司,Capital Research and Management Company,美国,汇丰银行,2012/3/9
146,日本东京海上资产管理株式会社,"Tokio Marine Asset Management Co.,Ltd",日本,汇丰银行,2012/3/14
147,韩亚金融投资株式会社,"Hana Financial Investment Co.,Ltd",韩国,汇丰银行,2012/3/29
148,兴元资产管理有限公司,"Genesis Asset Managers,LLP",美国,德意志银行,2012/3/30
149,伦敦市投资管理有限公司,City of London Investment Managementi Company Limited,英国,汇丰银行,2012/3/30
150,摩根资产管理(英国)有限公司,JPMorgan Asset Management (UK) Limited,英国,工商银行,2012/3/30
151,冈三资产管理股份有限公司,"Okasan Asset Management Co.,Ltd",日本,汇丰银行,2012/3/30
152,预知投资管理公司,Prescient Investment Management PTY LTD,南非,工商银行,2012/4/18
153,东部资产运用株式会社,"Dongbu Asset Management Co.,Ltd.",韩国,建设银行,2012/4/20
154,骏利资产管理有限公司,Janus Capital Management LLC,美国,汇丰银行,2012/4/20
155,瀚森全球投资有限公司,Henderson Global Investors Limited,英国,渣打银行,2012/4/28
156,欧利盛资产管理有限公司,Eurizon Capital S.A.,卢森堡,工商银行,2012/5/2
157,中银国际英国保诚资产管理有限公司,BOCI-Prudential Asset Management Limited,香港,渣打银行,2012/5/3
158,富敦资金管理有限公司,Fullerton Fund Management Company Ltd,新加坡,工商银行,2012/5/4
159,利安资金管理公司,Lion Global Investors Limited,新加坡,花旗银行,2012/5/7
160,忠利银行基金管理卢森堡有限责任公司,BG FUND MANAGEMENT LUXEMBOURG S.A.,卢森堡,建设银行,2012/5/23
161,威廉博莱公司,"William Blair & Company,L.L.C.",美国,汇丰银行,2012/5/24
162,天达资产管理有限公司,Investec Asset Management Limited,英国,花旗银行,2012/5/28
163,安智投资管理亚太（香港）有限公司,ING Investment Management Aisa Pacific (Hong Kong) Limited,香港,花旗银行,2012/6/4
164,三菱日联国际资产管理公司,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",日本,汇丰银行,2012/6/4
165,中银集团人寿保险有限公司,BOC Group Life Assurance Company Limited,香港,农业银行,2012/7/12
166,霍资本有限公司,Hall Capital Partners LLC,美国,花旗银行,2012/8/6
167,得克萨斯大学体系董事会,Board of Regents of The University of Texas System,美国,汇丰银行,2012/8/6
168,南山人寿保险股份有限公司,"Nan Shan Life Insurance Company,Ltd.",台湾,工商银行,2012/8/6
169,SUVA瑞士国家工伤保险机构,Suva,瑞士,花旗银行,2012/8/13
170,不列颠哥伦比亚省投资管理公司,British Columbia Investment Management Corporation,加拿大,汇丰银行,2012/8/17
171,惠理基金管理香港有限公司,Value Partners Hong Kong Limited,香港,汇丰银行,2012/8/21
172,安大略退休金管理委员会,Ontario Pension Board,加拿大,汇丰银行,2012/8/29
173,教会养老基金,The Church Pension Fund,美国,工商银行,2012/8/31
174,麦格理银行有限公司,Macquarie Bank Limited,澳大利亚,汇丰银行,2012/9/4
175,瑞典第二国家养老金,Andra AP-fonden,瑞典,汇丰银行,2012/9/20
176,海通国际资产管理（香港）有限公司,Haitong International Asset Management (HK) Limited,香港,交通银行,2012/9/20
177,IDG资本管理（香港）有限公司,IDG CAPITAL MANAGEMENT (HK) LIMITED,香港,建设银行,2012/9/20
178,杜克大学,Duke University,美国,工商银行,2012/9/24
179,卡塔尔控股有限责任公司,Qatar Holding LLC,卡塔尔,农业银行,2012/9/25
180,瑞士盈丰银行股份有限公司,EFG Bank AG,瑞士,花旗银行,2012/9/26
181,海拓投资管理公司,Cutwater Investor Services Corporation,美国,中国银行,2012/10/26
182,奥博医疗顾问有限公司,OrbiMed Advisors LLC,美国,花旗银行,2012/10/26
183,新思路投资有限公司,New Silk Road Investment Pte. Ltd.,新加坡,汇丰银行,2012/10/26
184,贝莱德资产管理北亚有限公司,BlackRock Asset Management North Asia Limited,香港,花旗银行,2012/10/26
185,摩根证券投资信托股份有限公司,JPMorgan Asset Management Taiwan,台湾,建设银行,2012/11/5
186,全球保险集团美国投资管理有限公司,"AEGON USA Investment Management, LLC",美国,花旗银行,2012/11/5
187,鼎晖投资咨询新加坡有限公司,CDH Investment Advisory Private Limited,新加坡,建设银行,2012/11/7
188,瑞典北欧斯安银行有限公司,Skandinaviska Enskilda Banken AB(publ),瑞典,中国银行,2012/11/12
189,嘉实国际资产管理有限公司,Harvest Global Investments Limited,香港,中国银行,2012/11/12
190,灰石投资管理有限公司,Greystone Managed Investments Inc.,加拿大,工商银行,2012/11/21
191,统一证券投资信托股份有限公司,Uni-President Assets Management Corporation,台湾,汇丰银行,2012/11/21
192,大和住银投信投资顾问株式会社,Daiwa SB Investments Ltd.,日本,农业银行,2012/11/19
193,毕盛资产管理有限公司,APS Asset Management Pte Ltd,新加坡,建设银行,2012/11/27
194,中信里昂另类投资管理有限公司,CLSA Alternative Investment Management Limited,香港,工商银行,2012/12/11
195,太平洋投资策略有限公司,Pacific Alliance Investment Management (HK) Limited ,香港,建设银行,2012/12/11
196,易方达资产管理（香港）有限公司,"E Fund Management (Hongkong) Co.,Limited",香港,汇丰银行,2012/12/11
197,高瓴资本管理有限公司,Hillhouse Capital Management Pte. Ltd.,新加坡,建设银行,2012/12/11
198,永丰证券投资信托股份有限公司,"SinoPac Securities Investment Trust Co.,Ltd",台湾,工商银行,2012/12/13
199,华夏基金（香港）有限公司,China Asset Management (Hong Kong) Limited,香港,汇丰银行,2012/12/25
200,宜思投资管理有限责任公司,East Capital AB,瑞典,花旗银行,2013/1/7
201,第一金证券投资信托股份有限公司,"First Securities Investment Trust Co., Ltd.",台湾,汇丰银行,2013/1/24
202,太平洋投资管理公司亚洲私营有限公司,PIMCO Asia Pte Ltd,新加坡,汇丰银行,2013/1/24
203,瑞银资产管理（香港）有限公司,UBS Asset Management (Hong Kong ) Ltd,香港,花旗银行,2013/1/24
204,南方东英资产管理有限公司,CSOP Asset Management Limited,香港,渣打银行,2013/1/31
205,EJS投资管理有限公司,EJS Investment Management S.A.,瑞士,交通银行,2013/1/31
206,国泰君安资产管理（亚洲）有限公司,Guotai Junan Assets (Asia) Limited,香港,交通银行,2013/2/21
207,泰康资产管理（香港）有限公司,Taikang Asset Management (HK) Company Limited,香港,工商银行,2013/2/22
208,招商证券资产管理（香港）有限公司,"CMS Asset Management (HK) Co., Limited",香港,交通银行,2013/2/22
209,国民证券株式会社,"KB Securities co., Ltd.",韩国,建设银行,2013/3/22
210,工银亚洲投资管理有限公司,ICBC (Asia) Investment Management Company Limited,香港,建设银行,2013/3/25
211,亚洲资本再保险集团私人有限公司,Asia Capital Reinsurance Group Pte. Ltd.,新加坡,花旗银行,2013/4/11
212,AZ基金管理股份有限公司,AZ Fund Management S.A.,卢森堡,德意志银行,2013/4/11
213,台新证券投资信托股份有限公司,"Taishin Securities Investment Trust Co., Ltd.",台湾,建设银行,2013/4/27
214,海富通资产管理（香港）有限公司,HFT Investment Management (HK) Limited,香港,工商银行,2013/5/7
215,汇丰中华证券投资信托股份有限公司,HSBC Global Asset Management (Taiwan) Limited,台湾,交通银行,2013/5/10
216,太平资产管理（香港）有限公司,Taiping Assets Management (HK) Company Limited,香港,建设银行,2013/5/15
217,中国国际金融香港资产管理有限公司,China International Capital Corporation Hong Kong Asset Management Limited,香港,建设银行,2013/5/16
218,中国光大资产管理有限公司,China Everbright Assets Management Limited,香港,汇丰银行,2013/5/30
219,博时基金（国际）有限公司,"Bosera Asset Management (International) Co., Ltd.",香港,汇丰银行,2013/6/4
220,兆丰国际证券投资信托股份有限公司,"Mega International Investment Trust Co., Ltd.",台湾,德意志银行,2013/6/4
221,法国巴黎投资管理亚洲有限公司,BNP Paribas Investment Partners Asia Limited,香港,中国银行,2013/6/19
222,圣母大学,University of Notre Dame du Lac,美国,汇丰银行,2013/6/19
223,纽堡亚洲,Newport Asia LLC,美国,汇丰银行,2013/7/15
224,华南永昌证券投资信托股份有限公司,HUA NAN INVESTMENT TRUST CORPORATION,台湾,花旗银行,2013/7/15
225,景林资产管理香港有限公司,Greenwoods Asset Management Hong Kong Limited,香港,汇丰银行,2013/7/15
226,中国信托人寿保险股份有限公司,"CTBC Life Insurance Co., Ltd.",台湾,中国银行,2013/8/20
227,凯思博投资管理（香港）有限公司,Keywise Capital Management (HK) Limited,香港,工商银行,2013/8/20
228,富邦产物保险股份有限公司,FUBON INSURANCE COMPANY LIMITED,台湾,工商银行,2013/8/26
229,欧特咨询有限公司,Alta Advisers Limited,英国,汇丰银行,2013/8/26
230,盛树投资管理有限公司,Flowering Tree Investment Manangement Pte. Ltd.,新加坡,汇丰银行,2013/8/26
231,广发国际资产管理有限公司,GF International Investment Management Limited,香港,工商银行,2013/9/26
232,梅奥诊所,Mayo Clinic,美国,汇丰银行,2013/9/29
233,国信证券（香港）资产管理有限公司,Guosen Securities (HK) Asset Management Company Limited,香港,花旗银行,2013/9/29
234,新加坡科技资产管理有限公司,ST Asset Management Ltd,新加坡,渣打银行,2013/10/18
235,政府养老基金（泰国）,Government Pension Fund,泰国,建设银行,2013/10/24
236,狮诚控股国际私人有限公司,SeaTown Holdings International Pte. Ltd.,新加坡,汇丰银行,2013/10/30
237,CSAM资产管理有限公司,CSAM Asset Management Pte Ltd,新加坡,花旗银行,2013/10/30
238,中国人寿富兰克林资产管理有限公司,"China Life Franklin Asset Management Co., Limited",香港,建设银行,2013/10/30
239,瑞银韩亚资产运用株式会社,"UBS Hana Asset Management Co., Ltd.",韩国,花旗银行,2013/10/31
240,国泰世华商业银行股份有限公司,"Cathay United Bank Co., Ltd.",台湾,工商银行,2013/11/7
241,立陶宛银行,Bank of Lithuania,立陶宛,汇丰银行,2013/11/23
242,富兰克林华美证券投资信托股份有限公司,Franklin Templeton SinoAM SIM Inc.,台湾,农业银行,2013/11/23
243,中国信托商业银行股份有限公司,"CTBC Bank Co., Ltd.",台湾,中国银行,2013/11/23
244,华盛顿大学,The Washington University,美国,汇丰银行,2014/1/23
245,澳门金融管理局,Monetary Authority of Macao,澳门,中国银行,2014/1/27
